,日期,城市,新增确诊,新增治愈,新增死亡,累积确诊,累积治愈,累积死亡
0,2020-01-10,湖北,41,2,1,41,2,1
1,2020-01-11,湖北,0,4,0,41,6,1
2,2020-01-12,湖北,0,1,0,41,7,1
3,2020-01-15,湖北,0,5,1,41,12,2
4,2020-01-16,湖北,4,3,0,45,15,2
5,2020-01-17,湖北,17,4,0,62,19,2
6,2020-01-18,湖北,59,5,1,121,24,3
7,2020-01-19,北京,2,0,0,2,0,0
8,2020-01-19,广东,1,0,0,1,0,0
9,2020-01-19,湖北,77,1,1,198,25,4
10,2020-01-20,北京,2,0,0,4,0,0
11,2020-01-20,浙江,1,0,0,1,0,0
12,2020-01-20,湖北,12,0,0,210,25,4
13,2020-01-20,广东,1,0,0,2,0,0
14,2020-01-20,广东,8,0,0,10,0,0
15,2020-01-20,浙江,1,0,0,2,0,0
16,2020-01-20,上海,1,0,0,1,0,0
17,2020-01-20,北京,1,0,0,5,0,0
18,2020-01-20,浙江,2,0,0,4,0,0
19,2020-01-20,湖北,60,0,2,270,25,6
20,2020-01-20,广东,1,0,0,11,0,0
21,2020-01-20,浙江,1,0,0,5,0,0
22,2020-01-20,广东,3,0,0,14,0,0
23,2020-01-21,四川,1,0,0,1,0,0
24,2020-01-21,重庆,1,0,0,1,0,0
25,2020-01-21,北京,1,0,0,6,0,0
26,2020-01-21,广东,1,0,0,15,0,0
27,2020-01-21,江西,1,0,0,1,0,0
28,2020-01-21,四川,1,0,0,2,0,0
29,2020-01-21,广东,2,0,0,17,0,0
30,2020-01-21,北京,2,0,0,8,0,0
31,2020-01-21,安徽,1,0,0,1,0,0
32,2020-01-21,天津,1,0,0,1,0,0
33,2020-01-21,云南,1,0,0,1,0,0
34,2020-01-21,浙江,3,0,0,8,0,0
35,2020-01-21,江西,1,0,0,2,0,0
36,2020-01-21,山东,1,0,0,1,0,0
37,2020-01-21,广东,2,0,0,19,0,0
38,2020-01-21,广东,5,0,0,24,0,0
39,2020-01-21,台湾,1,0,0,1,0,0
40,2020-01-21,北京,1,0,0,9,0,0
41,2020-01-21,重庆,2,0,0,3,0,0
42,2020-01-21,山东,1,0,0,2,0,0
43,2020-01-21,浙江,2,0,0,10,0,0
44,2020-01-21,重庆,2,0,0,5,0,0
45,2020-01-21,湖北,105,3,3,375,28,9
46,2020-01-21,北京,1,0,0,10,0,0
47,2020-01-21,天津,1,0,0,2,0,0
48,2020-01-21,宁夏,1,0,0,1,0,0
49,2020-01-21,广东,1,0,0,25,0,0
50,2020-01-21,湖南,1,0,0,1,0,0
51,2020-01-21,重庆,1,0,0,6,0,0
52,2020-01-21,河南,1,0,0,1,0,0
53,2020-01-21,广东,1,0,0,26,0,0
54,2020-01-22,澳门,1,0,0,1,0,0
55,2020-01-22,甘肃,1,0,0,1,0,0
56,2020-01-22,广西,3,0,0,3,0,0
57,2020-01-22,安徽,1,0,0,2,0,0
58,2020-01-22,北京,1,0,0,11,0,0
59,2020-01-22,湖南,1,0,0,2,0,0
60,2020-01-22,四川,3,0,0,5,0,0
61,2020-01-22,安徽,1,0,0,3,0,0
62,2020-01-22,四川,1,0,0,6,0,0
63,2020-01-22,辽宁,1,0,0,1,0,0
64,2020-01-22,重庆,1,0,0,7,0,0
65,2020-01-22,福建,1,0,0,1,0,0
66,2020-01-22,安徽,1,0,0,4,0,0
67,2020-01-22,广东,3,0,0,29,0,0
68,2020-01-22,贵州,1,0,0,1,0,0
69,2020-01-22,黑龙江,1,0,0,1,0,0
70,2020-01-22,海南,1,0,0,1,0,0
71,2020-01-22,浙江,5,0,0,15,0,0
72,2020-01-22,安徽,4,0,0,8,0,0
73,2020-01-22,天津,1,0,0,3,0,0
74,2020-01-22,湖南,3,0,0,5,0,0
75,2020-01-22,浙江,1,0,0,16,0,0
76,2020-01-22,湖北,1,0,0,376,28,9
77,2020-01-22,湖北,6,0,0,382,28,9
78,2020-01-22,甘肃,1,0,0,2,0,0
79,2020-01-22,海南,1,0,0,2,0,0
80,2020-01-22,山东,2,0,0,4,0,0
81,2020-01-22,广西,1,0,0,4,0,0
82,2020-01-22,安徽,1,0,0,9,0,0
83,2020-01-22,河南,1,0,0,2,0,0
84,2020-01-22,四川,2,0,0,8,0,0
85,2020-01-22,黑龙江,1,0,0,2,0,0
86,2020-01-22,江西,1,0,0,3,0,0
87,2020-01-22,天津,1,0,0,4,0,0
88,2020-01-22,浙江,2,0,0,18,0,0
89,2020-01-22,贵州,1,0,0,2,0,0
90,2020-01-22,山东,2,0,0,6,0,0
91,2020-01-22,浙江,1,0,0,19,0,0
92,2020-01-22,河南,1,0,0,3,0,0
93,2020-01-22,海南,1,0,0,3,0,0
94,2020-01-22,浙江,1,0,0,20,0,0
95,2020-01-22,广东,1,0,0,30,0,0
96,2020-01-22,辽宁,1,0,0,2,0,0
97,2020-01-22,河北,1,0,0,1,0,0
98,2020-01-22,北京,1,0,0,12,0,0
99,2020-01-22,江苏,1,0,0,1,0,0
100,2020-01-22,浙江,5,0,0,25,0,0
101,2020-01-22,山西,1,0,0,1,0,0
102,2020-01-22,贵州,1,0,0,3,0,0
103,2020-01-22,北京,1,0,0,13,0,0
104,2020-01-22,海南,1,0,0,4,0,0
105,2020-01-22,浙江,2,1,0,27,1,0
106,2020-01-22,广西,1,0,0,5,0,0
107,2020-01-22,湖北,62,0,8,444,28,17
108,2020-01-22,陕西,2,0,0,2,0,0
109,2020-01-22,北京,1,0,0,14,0,0
110,2020-01-22,陕西,1,0,0,3,0,0
111,2020-01-22,香港,1,0,0,1,0,0
112,2020-01-22,重庆,2,0,0,9,0,0
113,2020-01-22,湖南,1,0,0,6,0,0
114,2020-01-22,吉林,1,0,0,1,0,0
115,2020-01-22,湖南,3,0,0,9,0,0
116,2020-01-22,广东,1,0,0,31,0,0
117,2020-01-22,河南,2,0,0,5,0,0
118,2020-01-22,广东,1,0,0,32,0,0
119,2020-01-23,陕西,1,0,0,4,0,0
120,2020-01-23,安徽,1,0,0,10,0,0
121,2020-01-23,澳门,1,0,0,2,0,0
122,2020-01-23,广西,1,0,0,6,0,0
123,2020-01-23,安徽,1,0,0,11,0,0
124,2020-01-23,广西,3,0,0,9,0,0
125,2020-01-23,河北,1,0,1,2,0,1
126,2020-01-23,北京,2,0,0,16,0,0
127,2020-01-23,辽宁,1,0,0,3,0,0
128,2020-01-23,四川,3,0,0,11,0,0
129,2020-01-23,安徽,1,0,0,12,0,0
130,2020-01-23,重庆,1,0,0,10,0,0
131,2020-01-23,黑龙江,1,0,0,3,0,0
132,2020-01-23,四川,1,0,0,12,0,0
133,2020-01-23,重庆,1,0,0,11,0,0
134,2020-01-23,北京,1,0,0,17,0,0
135,2020-01-23,重庆,1,0,0,12,0,0
136,2020-01-23,广东,5,0,0,37,0,0
